periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
01/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";139;165;5897;4338;-;459;147;-;-;-;-;-;84;-;-;148;14165;376;134;-;-;-;-;-;-;276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7151;33479
01/2024;qtd_aprovada;"110002 ARIQUEMES";44058;2391;12336;38456;-;1484;765;1162;-;-;84;-;388;137;5;5723;99541;246;1;-;2327;1;2032;-;-;414;-;3;-;-;2;-;-;-;-;-;-;106;-;1;15;-;-;-;-;-;-;82;45;-;7587;219392
01/2024;qtd_aprovada;"110003 CABIXI";33;265;-;520;-;106;-;-;-;-;-;-;6;-;27;63;4357;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105;5518
01/2024;qtd_aprovada;"110004 CACOAL";357;175;672;37441;3;1568;705;1892;168;-;3;5;1176;-;-;232;33736;1063;236;851;1886;20;113;113;-;1212;11;12;1;-;-;150;-;-;-;-;5;41;2;189;18;-;-;-;-;-;86574;-;39;-;4641;175310
01/2024;qtd_aprovada;"110005 CEREJEIRAS";8559;189;94;3955;-;1015;-;-;-;-;-;-;30;-;-;849;14061;-;-;-;-;-;26;-;-;12;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;3458;32266
01/2024;qtd_aprovada;"110006 COLORADO DO OESTE";1780;500;-;-;-;388;158;-;-;-;-;-;13;-;-;83;10019;190;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;401;13568
01/2024;qtd_aprovada;"110007 CORUMBIARA";5201;166;6;71;-;-;27;-;-;-;-;-;16;-;-;726;8811;-;-;-;-;-;125;-;-;11;-;1;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;1321;16497
01/2024;qtd_aprovada;"110008 COSTA MARQUES";2280;95;-;5372;-;-;-;-;-;-;-;-;-;-;-;188;5819;218;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13976
01/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";506;39;1017;6570;-;106;142;-;-;-;-;-;32;-;-;2;19478;1616;-;-;-;-;-;-;-;156;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;4899;34636
01/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";6423;51;51;2254;-;813;263;-;-;-;-;-;26;-;-;731;12903;312;-;-;-;-;-;-;-;59;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23887
01/2024;qtd_aprovada;"110011 JARU";-;526;-;19242;-;2118;282;-;-;-;-;-;114;-;-;44;55887;224;4;-;-;3;-;-;-;129;-;8;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9735;88317
01/2024;qtd_aprovada;"110012 JI-PARANA";5316;-;43;45277;1448;2839;303;841;641;-;144;-;565;-;-;2200;560255;34;18711;-;2017;30;-;1;-;1144;-;15;-;-;-;-;-;-;-;-;7;-;2;284;21;-;-;-;-;-;-;800;28;-;5522;648488
01/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";5630;305;-;4007;-;955;63;-;-;-;-;-;133;-;-;2263;36300;-;44;-;1;-;-;-;2;94;-;-;-;1;-;4;1;-;-;1;-;-;-;6;-;-;-;-;-;-;-;-;-;-;6873;56683
01/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2283;95;341;361;-;268;138;-;-;-;-;-;15;-;7;138;11309;416;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15412
01/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";-;2510;-;12662;-;516;112;-;-;-;-;-;368;-;-;225;24456;-;1;-;-;4;-;-;-;200;-;-;-;-;-;2;1;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;41108
01/2024;qtd_aprovada;"110018 PIMENTA BUENO";427;67;-;8219;-;1121;200;-;-;-;-;-;209;-;-;89;22037;55;28;-;-;-;-;-;-;255;-;1;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;694;33459
01/2024;qtd_aprovada;"110020 PORTO VELHO";5585;4469;17469;173466;6266;18331;3982;4789;198;251;289;23;14561;10414;440;26071;489631;2750;507;2409;4629;5933;1343;1157;-;5026;-;198;115;2;20;10;13;16;-;3;-;291;-;163;65;362;30;35;-;117;116891;1671;128;-;17998;938117
01/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;171;-;1087;-;-;-;-;-;-;-;-;3;-;1;52;509;112;1;-;-;-;-;-;-;88;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2028
01/2024;qtd_aprovada;"110026 RIO CRESPO";2;3;855;675;-;-;-;-;-;-;-;-;-;-;-;36;4709;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6280
01/2024;qtd_aprovada;"110028 ROLIM DE MOURA";4603;48;450;16998;-;1416;348;-;-;-;-;-;425;-;-;622;39521;914;425;-;-;5;-;184;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9369;75346
01/2024;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";5695;131;14;3150;-;132;3;-;-;-;-;-;23;-;-;162;7073;162;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;268;16851
01/2024;qtd_aprovada;"110030 VILHENA";3035;496;1041;34283;-;1432;233;724;688;-;178;-;1085;-;-;697;39690;368;42;-;-;-;1;21;1;309;-;5;-;-;1;-;-;-;-;1;-;34;-;108;-;-;-;-;-;-;-;409;-;-;-;84882
01/2024;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";10028;-;90;1887;-;8;64;-;-;-;-;-;16;-;-;643;12383;-;4;-;2;-;387;-;-;14;-;1;-;-;-;5;-;-;2;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;8344;33909
01/2024;qtd_aprovada;"110033 NOVA MAMORE";-;208;1;6826;-;548;-;-;-;-;-;-;-;-;-;124;2392;94;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;1;29;-;-;-;-;-;-;-;-;-;-;-;10317
01/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";-;87;-;-;-;-;40;-;-;-;-;-;-;-;-;-;6995;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7141
01/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1265;-;1908;2406;-;-;69;-;-;-;-;-;9;-;-;1023;5017;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4570;16286
01/2024;qtd_aprovada;"110040 ALTO PARAISO";3891;2431;-;5047;-;417;-;-;-;-;-;-;100;-;-;367;16704;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;992;29972
01/2024;qtd_aprovada;"110045 BURITIS";11737;38;188;7842;-;571;146;-;-;-;-;-;226;-;-;2284;28263;120;4;-;-;2;794;157;-;106;-;-;-;-;-;1;1;1;-;1;-;110;-;3;-;-;-;-;-;-;-;-;-;-;9357;61952
01/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;212;-;2507;-;-;111;-;-;-;-;-;243;-;80;-;9184;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3480;15891
01/2024;qtd_aprovada;"110060 CACAULANDIA";2927;17;1440;1392;-;-;-;-;-;-;-;-;4;-;13;114;6086;90;2;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12093
01/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5546;-;19;589;-;-;-;-;-;-;-;-;1;-;-;453;5743;-;-;-;-;-;-;-;-;17;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;190;12559
01/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";82;-;-;8330;-;-;137;-;-;-;-;-;-;-;-;14;3751;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12356
01/2024;qtd_aprovada;"110090 CASTANHEIRAS";975;-;7;702;-;-;16;-;-;-;-;-;1;-;-;57;3562;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;5322
01/2024;qtd_aprovada;"110092 CHUPINGUAIA";-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
01/2024;qtd_aprovada;"110094 CUJUBIM";1861;-;282;9661;-;660;118;-;-;-;-;-;118;-;15;237;19270;-;2;-;-;-;-;-;-;109;-;1;-;-;-;-;-;-;-;-;-;43;-;4;-;-;-;-;-;-;-;-;-;-;1189;33570
01/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;52;-;406;-;131;-;-;-;-;-;-;45;-;-;-;242;241;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1125
01/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";1138;5;1;2814;-;156;-;-;-;-;-;-;-;-;-;136;7798;1400;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;95;13544
01/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;1433;-;184;-;-;-;-;-;-;14;-;10;71;5572;-;99;-;-;-;-;-;-;57;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;7473
01/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;43;-;1215;-;657;67;-;-;-;-;-;-;-;-;-;7258;-;-;-;-;-;-;-;-;410;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9658
01/2024;qtd_aprovada;"110140 MONTE NEGRO";1191;95;-;4933;-;44;-;-;-;-;-;-;105;-;-;647;5435;103;-;-;-;-;-;-;-;53;-;8;-;-;1;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;3072;15718
01/2024;qtd_aprovada;"110143 NOVA UNIAO";-;130;-;1576;-;525;-;-;-;-;-;-;1450;-;-;-;5718;-;-;-;-;-;-;-;-;16;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9431
01/2024;qtd_aprovada;"110145 PARECIS";-;26;-;-;-;-;360;-;-;-;-;-;-;-;-;-;668;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1054
01/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";611;-;-;-;-;-;-;-;-;-;-;-;2;-;-;44;1646;-;-;-;-;-;14;-;-;5;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;300;2631
01/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";537;-;-;9;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;558
01/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";573;-;168;140;-;-;-;-;-;-;-;-;-;-;-;61;4375;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;765;6082
01/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";6210;377;1065;11256;-;429;38;-;-;-;-;-;68;-;-;703;12709;1267;-;-;-;-;121;-;-;80;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;2574;36920
01/2024;qtd_aprovada;"110150 SERINGUEIRAS";5964;192;21;2658;-;204;182;-;-;-;-;-;20;-;-;290;8565;132;-;-;-;-;117;-;-;30;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;227;18631
01/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;366;-;-;-;-;-;-;-;-;27;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;466
01/2024;qtd_aprovada;"110160 THEOBROMA";479;27;-;2554;-;90;-;-;-;-;-;-;1;-;-;28;3150;-;-;-;-;-;76;-;-;8;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;6427
01/2024;qtd_aprovada;"110170 URUPA";-;146;-;4775;-;236;-;-;-;-;-;-;16;-;-;57;4550;351;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;10261
01/2024;qtd_aprovada;"110175 VALE DO ANARI";-;129;138;13695;-;-;-;-;-;-;-;-;-;-;-;186;4047;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18235
01/2024;qtd_aprovada;"110180 VALE DO PARAISO";214;-;-;1402;-;-;61;-;-;-;-;-;1;-;-;5;3816;-;-;-;-;-;1;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;5542
01/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2024;qtd_aprovada;"120001 ACRELANDIA";-;69;145;-;-;-;-;-;-;-;-;-;-;-;-;560;3655;-;-;-;-;-;-;-;-;123;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4555
01/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;5226;-;246;-;-;-;-;-;-;75;-;-;280;6095;-;-;-;-;-;-;-;-;12;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11937
01/2024;qtd_aprovada;"120010 BRASILEIA";-;657;4;14981;-;7968;44;56;-;-;-;-;89;-;4;145;12199;157;86;-;624;121;15;-;-;180;-;12;-;-;-;18;-;-;-;-;-;30;-;5;7;-;-;-;-;-;-;1;-;-;-;37403
01/2024;qtd_aprovada;"120013 BUJARI";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65
01/2024;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;159;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;159
01/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";20457;3729;392;64449;-;2949;1321;1042;-;-;41;-;775;549;230;860;48748;1686;202;-;887;350;-;12;-;171;-;1;-;-;-;-;-;-;-;-;-;3;-;18;18;-;-;-;-;-;17153;22;56;-;-;166121
01/2024;qtd_aprovada;"120025 EPITACIOLANDIA";2;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;275
01/2024;qtd_aprovada;"120030 FEIJO";-;-;-;10948;-;438;-;-;-;-;-;-;-;-;-;-;5250;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16692
01/2024;qtd_aprovada;"120032 JORDAO";-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;24;868;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1000
01/2024;qtd_aprovada;"120033 MANCIO LIMA";10;42;928;6143;-;747;-;-;-;-;-;-;166;-;-;1048;19704;80;4;-;-;-;-;-;-;211;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;29186
01/2024;qtd_aprovada;"120034 MANOEL URBANO";-;220;26;3175;-;64;-;-;-;-;-;-;11;-;-;49;5537;-;-;-;-;-;-;-;-;57;-;2;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9146
01/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;200;1101;3876;-;-;-;-;-;-;-;-;-;-;-;884;7132;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13207
01/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";2;386;2736;5056;-;627;-;-;-;-;-;-;30;-;-;144;6505;71;-;-;-;-;5;-;-;73;-;4;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;15641
01/2024;qtd_aprovada;"120039 PORTO WALTER";182;155;-;-;-;53;-;-;-;-;-;-;18;-;-;121;1913;-;-;-;-;-;-;-;3;11;-;-;-;-;-;-;-;-;-;-;-;3;4;-;-;-;-;-;-;-;-;-;-;-;-;2463
01/2024;qtd_aprovada;"120040 RIO BRANCO";29898;768;12127;295687;4151;15025;2978;6744;2110;90;138;73;5433;-;638;16001;430677;883;511;773;4509;116;8489;301;-;3211;-;82;372;1;45;-;62;-;-;1;-;1446;1;198;4;215;-;-;-;113;142595;1318;53;-;6992;994829
01/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;51;-;-;-;-;-;-;70;-;-;80;3954;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4242
01/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;71;-;366;-;46;-;-;-;-;-;-;7;-;-;-;537;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1029
01/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;380;-;28297;-;559;-;-;-;-;-;-;26;-;-;196;6340;-;-;-;-;-;180;-;-;74;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;36061
01/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;991;254;15636;-;1927;85;-;-;-;-;-;98;-;68;94;14996;-;4;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34216
01/2024;qtd_aprovada;"120060 TARAUACA";-;401;-;4837;-;373;-;-;-;-;-;-;-;-;-;-;6169;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;11909
01/2024;qtd_aprovada;"120070 XAPURI";-;24;-;5183;-;285;-;-;-;-;-;-;-;-;-;389;8875;-;-;-;-;-;-;-;-;232;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;14995
01/2024;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57
01/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2024;qtd_aprovada;"130002 ALVARAES";-;-;-;591;-;149;24;-;-;-;-;-;69;-;2;-;2271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3106
01/2024;qtd_aprovada;"130006 AMATURA";-;-;-;1683;-;190;8;-;-;-;-;-;28;-;-;158;10152;-;-;-;-;-;-;-;-;172;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12391
01/2024;qtd_aprovada;"130008 ANAMA";-;-;-;2178;-;189;299;-;-;-;-;-;4;-;-;8;537;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3253
01/2024;qtd_aprovada;"130010 ANORI";-;567;-;6030;-;222;46;-;-;-;-;-;68;-;-;46;2525;-;-;-;-;-;-;-;-;148;-;22;-;45;-;-;18;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9755
01/2024;qtd_aprovada;"130014 APUI";-;98;5;1316;-;492;66;-;-;-;-;-;39;-;-;124;3626;239;8;-;-;26;-;-;-;94;-;6;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;6162
01/2024;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;1866;-;-;174;-;-;-;-;-;34;-;2;28;3486;-;-;-;-;-;-;-;-;197;-;3;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;5820
01/2024;qtd_aprovada;"130030 AUTAZES";26;59;-;7638;-;1652;360;-;-;-;-;-;-;-;-;420;24993;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;364;35556
01/2024;qtd_aprovada;"130040 BARCELOS";-;-;-;1044;-;95;18;-;-;-;-;-;-;-;-;-;1562;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2721
01/2024;qtd_aprovada;"130050 BARREIRINHA";-;-;-;831;-;393;11;-;-;-;-;-;38;-;-;253;3601;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5242
01/2024;qtd_aprovada;"130060 BENJAMIN CONSTANT";-;-;1;-;-;571;468;-;-;-;-;-;141;-;-;412;1187;161;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2944
01/2024;qtd_aprovada;"130063 BERURI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2024;qtd_aprovada;"130068 BOA VISTA DO RAMOS";-;337;-;4396;-;211;122;-;-;-;-;-;-;-;-;-;6910;105;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12099
01/2024;qtd_aprovada;"130070 BOCA DO ACRE";209;166;-;27547;-;4072;67;-;-;-;-;-;89;-;-;-;4961;-;-;-;-;-;379;-;-;-;-;-;64;-;-;-;-;-;-;-;-;845;-;-;-;-;-;-;-;-;-;36;-;-;-;38435
01/2024;qtd_aprovada;"130080 BORBA";243;1;18;677;-;252;70;-;-;-;-;-;3;-;-;923;5817;393;-;-;-;-;-;-;-;220;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8620
01/2024;qtd_aprovada;"130083 CAAPIRANGA";-;40;-;1199;-;114;51;-;-;-;-;-;24;-;-;-;2976;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;4504
01/2024;qtd_aprovada;"130090 CANUTAMA";-;27;-;8255;-;1223;645;-;-;-;-;-;380;-;-;343;8480;-;40;-;-;10;-;-;-;92;-;22;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19522
01/2024;qtd_aprovada;"130100 CARAUARI";-;-;-;18282;-;626;22;-;-;-;-;-;152;-;-;2;11602;-;-;-;-;-;-;-;-;182;-;-;-;-;-;-;-;-;-;-;-;-;19;35;-;-;-;-;-;-;-;29;-;-;-;30951
